id,class
1,dusk
2,scene
3,scene
4,oval
5,cold
6,water
7,cold
8,water
9,scene
10,water
11,dusk
12,trees
13,water
14,dusk
15,water
16,water
17,cold
18,scene
19,trees
20,cold
21,cold
22,trees
23,scene
24,trees
25,dusk
26,scene
27,impressions
28,cold
29,water
30,trees
31,water
32,scene
33,impressions
34,cold
35,trees
36,water
37,trees
38,cold
39,water
40,water
41,water
42,cold
43,scene
44,cold
45,trees
46,scene
47,flowers
48,scene
49,flowers
50,dusk
51,flowers
52,impressions
53,scene
54,dusk
55,water
56,trees
57,impressions
58,cold
59,scene
60,trees
61,impressions
62,scene
63,water
