id,class
1,dusk
2,trees
3,scene
4,cold
5,water
6,flowers
7,scene
8,flowers
9,trees
10,cold
11,water
12,scene
13,water
14,dusk
15,trees
16,water
17,impressions
18,trees
19,trees
20,cold
21,oval
22,flowers
23,water
24,trees
25,water
26,water
27,water
28,impressions
29,flowers
30,flowers
31,trees
32,oval
33,water
34,oval
35,trees
36,water
37,flowers
38,water
39,trees
40,water
41,trees
42,cold
43,dusk
44,oval
45,scene
46,trees
47,flowers
48,trees
49,water
50,dusk
51,trees
52,impressions
53,scene
54,flowers
55,trees
56,scene
57,impressions
58,flowers
59,scene
60,trees
61,trees
62,dusk
63,water
