id,class
1,impressions
2,cold
3,impressions
4,cold
5,cold
6,impressions
7,impressions
8,impressions
9,impressions
10,cold
11,impressions
12,impressions
13,impressions
14,impressions
15,impressions
16,impressions
17,impressions
18,impressions
19,impressions
20,impressions
21,impressions
22,impressions
23,impressions
24,cold
25,impressions
26,impressions
27,impressions
28,cold
29,impressions
30,scene
31,impressions
32,impressions
33,impressions
34,impressions
35,impressions
36,cold
37,cold
38,impressions
39,impressions
40,cold
41,impressions
42,cold
43,cold
44,impressions
45,impressions
46,dusk
47,impressions
48,impressions
49,impressions
50,impressions
51,impressions
52,impressions
53,cold
54,scene
55,impressions
56,cold
57,cold
58,impressions
59,cold
60,impressions
61,cold
62,dusk
63,impressions
