id,class
1,dusk
2,trees
3,trees
4,dusk
5,trees
6,dusk
7,flowers
8,water
9,trees
10,water
11,dusk
12,trees
13,cold
14,water
15,dusk
16,dusk
17,impressions
18,dusk
19,trees
20,dusk
21,dusk
22,trees
23,scene
24,trees
25,flowers
26,dusk
27,scene
28,dusk
29,water
30,dusk
31,trees
32,dusk
33,water
34,cold
35,trees
36,water
37,cold
38,cold
39,flowers
40,water
41,trees
42,cold
43,dusk
44,cold
45,dusk
46,dusk
47,flowers
48,dusk
49,water
50,dusk
51,flowers
52,cold
53,water
54,dusk
55,water
56,water
57,impressions
58,dusk
59,dusk
60,trees
61,water
62,dusk
63,trees
