id,class
1,dusk
2,cold
3,cold
4,cold
5,cold
6,scene
7,cold
8,water
9,water
10,scene
11,water
12,water
13,water
14,water
15,dusk
16,flowers
17,impressions
18,dusk
19,dusk
20,cold
21,flowers
22,impressions
23,cold
24,water
25,scene
26,flowers
27,impressions
28,cold
29,scene
30,cold
31,water
32,impressions
33,water
34,cold
35,trees
36,dusk
37,water
38,cold
39,dusk
40,water
41,water
42,cold
43,flowers
44,cold
45,impressions
46,cold
47,flowers
48,flowers
49,cold
50,dusk
51,trees
52,cold
53,cold
54,scene
55,water
56,water
57,impressions
58,dusk
59,dusk
60,scene
61,cold
62,dusk
63,scene
