id,class
1,dusk
2,cold
3,flowers
4,dusk
5,cold
6,scene
7,dusk
8,water
9,water
10,water
11,trees
12,trees
13,water
14,flowers
15,scene
16,scene
17,impressions
18,water
19,scene
20,cold
21,dusk
22,cold
23,impressions
24,scene
25,dusk
26,impressions
27,impressions
28,cold
29,trees
30,cold
31,trees
32,oval
33,impressions
34,oval
35,trees
36,water
37,water
38,water
39,cold
40,dusk
41,trees
42,water
43,dusk
44,cold
45,water
46,flowers
47,flowers
48,water
49,flowers
50,dusk
51,water
52,scene
53,scene
54,water
55,water
56,water
57,impressions
58,cold
59,cold
60,water
61,dusk
62,dusk
63,water
