id,class
1,dusk
2,scene
3,water
4,dusk
5,scene
6,scene
7,cold
8,water
9,scene
10,scene
11,water
12,flowers
13,scene
14,scene
15,water
16,scene
17,impressions
18,water
19,scene
20,cold
21,dusk
22,flowers
23,dusk
24,dusk
25,dusk
26,dusk
27,impressions
28,cold
29,water
30,dusk
31,flowers
32,oval
33,impressions
34,dusk
35,trees
36,scene
37,dusk
38,cold
39,water
40,water
41,water
42,water
43,dusk
44,cold
45,dusk
46,dusk
47,water
48,trees
49,water
50,dusk
51,water
52,impressions
53,scene
54,dusk
55,water
56,scene
57,impressions
58,dusk
59,water
60,trees
61,water
62,water
63,trees
