id,class
1,dusk
2,scene
3,flowers
4,water
5,scene
6,impressions
7,cold
8,dusk
9,scene
10,scene
11,water
12,flowers
13,water
14,trees
15,scene
16,scene
17,impressions
18,water
19,water
20,cold
21,cold
22,dusk
23,dusk
24,water
25,dusk
26,water
27,impressions
28,cold
29,water
30,dusk
31,flowers
32,water
33,impressions
34,dusk
35,trees
36,scene
37,flowers
38,cold
39,water
40,water
41,trees
42,water
43,dusk
44,cold
45,impressions
46,dusk
47,flowers
48,trees
49,flowers
50,dusk
51,dusk
52,cold
53,scene
54,flowers
55,trees
56,trees
57,impressions
58,dusk
59,dusk
60,trees
61,dusk
62,flowers
63,flowers
