id,class
1,dusk
2,water
3,trees
4,dusk
5,water
6,cold
7,cold
8,water
9,scene
10,water
11,trees
12,flowers
13,trees
14,trees
15,water
16,dusk
17,impressions
18,water
19,water
20,cold
21,cold
22,trees
23,impressions
24,water
25,cold
26,scene
27,impressions
28,cold
29,trees
30,trees
31,flowers
32,impressions
33,water
34,cold
35,trees
36,scene
37,flowers
38,cold
39,flowers
40,water
41,trees
42,water
43,dusk
44,cold
45,dusk
46,dusk
47,flowers
48,trees
49,dusk
50,dusk
51,water
52,impressions
53,water
54,flowers
55,trees
56,water
57,impressions
58,cold
59,water
60,water
61,oval
62,flowers
63,dusk
