id,class
1,dusk
2,dusk
3,flowers
4,cold
5,water
6,cold
7,cold
8,scene
9,trees
10,dusk
11,water
12,flowers
13,water
14,dusk
15,water
16,dusk
17,impressions
18,water
19,water
20,cold
21,cold
22,flowers
23,cold
24,water
25,dusk
26,dusk
27,impressions
28,cold
29,trees
30,dusk
31,flowers
32,cold
33,dusk
34,dusk
35,trees
36,scene
37,trees
38,cold
39,cold
40,water
41,trees
42,scene
43,dusk
44,cold
45,dusk
46,dusk
47,flowers
48,trees
49,dusk
50,dusk
51,water
52,impressions
53,water
54,flowers
55,water
56,water
57,impressions
58,cold
59,water
60,trees
61,dusk
62,flowers
63,trees
