id,class
1,dusk
2,dusk
3,trees
4,dusk
5,scene
6,cold
7,cold
8,flowers
9,scene
10,dusk
11,water
12,dusk
13,cold
14,flowers
15,water
16,dusk
17,impressions
18,dusk
19,scene
20,dusk
21,cold
22,flowers
23,cold
24,scene
25,dusk
26,dusk
27,impressions
28,cold
29,cold
30,dusk
31,cold
32,oval
33,flowers
34,cold
35,scene
36,scene
37,water
38,cold
39,water
40,flowers
41,trees
42,cold
43,dusk
44,cold
45,dusk
46,water
47,flowers
48,trees
49,flowers
50,dusk
51,water
52,impressions
53,water
54,flowers
55,water
56,trees
57,impressions
58,cold
59,dusk
60,trees
61,oval
62,flowers
63,water
