id,class
1,dusk
2,trees
3,flowers
4,dusk
5,water
6,cold
7,impressions
8,scene
9,scene
10,water
11,water
12,flowers
13,water
14,dusk
15,water
16,scene
17,impressions
18,scene
19,scene
20,cold
21,cold
22,trees
23,cold
24,water
25,dusk
26,scene
27,impressions
28,cold
29,trees
30,flowers
31,water
32,cold
33,water
34,dusk
35,cold
36,scene
37,water
38,cold
39,cold
40,water
41,trees
42,water
43,dusk
44,cold
45,dusk
46,flowers
47,flowers
48,cold
49,dusk
50,dusk
51,water
52,impressions
53,scene
54,trees
55,water
56,water
57,impressions
58,cold
59,scene
60,water
61,dusk
62,water
63,water
