id,class
1,dusk
2,dusk
3,flowers
4,impressions
5,scene
6,impressions
7,impressions
8,dusk
9,scene
10,water
11,water
12,flowers
13,dusk
14,dusk
15,water
16,dusk
17,impressions
18,trees
19,dusk
20,cold
21,cold
22,flowers
23,impressions
24,water
25,water
26,dusk
27,impressions
28,cold
29,water
30,dusk
31,water
32,impressions
33,water
34,impressions
35,trees
36,water
37,water
38,cold
39,cold
40,water
41,trees
42,impressions
43,dusk
44,impressions
45,impressions
46,dusk
47,impressions
48,trees
49,water
50,flowers
51,dusk
52,impressions
53,water
54,flowers
55,water
56,scene
57,impressions
58,water
59,impressions
60,trees
61,impressions
62,dusk
63,water
