id,class
1,dusk
2,dusk
3,flowers
4,cold
5,water
6,cold
7,impressions
8,scene
9,scene
10,water
11,water
12,flowers
13,water
14,trees
15,water
16,cold
17,impressions
18,scene
19,scene
20,cold
21,cold
22,cold
23,dusk
24,scene
25,dusk
26,water
27,impressions
28,cold
29,trees
30,dusk
31,cold
32,cold
33,water
34,cold
35,trees
36,scene
37,dusk
38,cold
39,cold
40,flowers
41,trees
42,water
43,dusk
44,cold
45,dusk
46,flowers
47,flowers
48,water
49,dusk
50,dusk
51,water
52,impressions
53,water
54,flowers
55,water
56,water
57,impressions
58,cold
59,dusk
60,water
61,cold
62,flowers
63,water
