id,class
1,dusk
2,trees
3,flowers
4,water
5,flowers
6,scene
7,cold
8,scene
9,water
10,scene
11,water
12,flowers
13,trees
14,dusk
15,water
16,scene
17,impressions
18,scene
19,scene
20,cold
21,dusk
22,trees
23,oval
24,scene
25,dusk
26,water
27,impressions
28,cold
29,flowers
30,scene
31,scene
32,cold
33,water
34,cold
35,cold
36,water
37,dusk
38,cold
39,cold
40,flowers
41,trees
42,water
43,water
44,cold
45,dusk
46,flowers
47,flowers
48,cold
49,water
50,dusk
51,water
52,impressions
53,dusk
54,flowers
55,water
56,scene
57,impressions
58,cold
59,scene
60,scene
61,cold
62,dusk
63,flowers
