id,class
1,dusk
2,water
3,flowers
4,dusk
5,water
6,cold
7,cold
8,trees
9,water
10,scene
11,water
12,dusk
13,water
14,cold
15,scene
16,dusk
17,impressions
18,scene
19,scene
20,cold
21,dusk
22,trees
23,water
24,scene
25,dusk
26,water
27,impressions
28,cold
29,water
30,dusk
31,flowers
32,oval
33,scene
34,cold
35,trees
36,water
37,water
38,cold
39,flowers
40,trees
41,trees
42,flowers
43,dusk
44,cold
45,cold
46,cold
47,flowers
48,trees
49,dusk
50,dusk
51,dusk
52,impressions
53,water
54,flowers
55,trees
56,trees
57,impressions
58,dusk
59,cold
60,trees
61,water
62,dusk
63,scene
