id,class
1,dusk
2,oval
3,oval
4,dusk
5,oval
6,oval
7,oval
8,oval
9,scene
10,water
11,oval
12,oval
13,oval
14,oval
15,water
16,oval
17,impressions
18,oval
19,scene
20,cold
21,oval
22,oval
23,oval
24,scene
25,dusk
26,oval
27,impressions
28,dusk
29,oval
30,oval
31,oval
32,oval
33,oval
34,oval
35,trees
36,scene
37,oval
38,cold
39,oval
40,oval
41,trees
42,oval
43,dusk
44,cold
45,oval
46,oval
47,flowers
48,oval
49,oval
50,dusk
51,oval
52,impressions
53,water
54,oval
55,water
56,oval
57,impressions
58,cold
59,oval
60,oval
61,oval
62,oval
63,oval
