id,class
1,dusk
2,dusk
3,flowers
4,cold
5,water
6,cold
7,cold
8,trees
9,trees
10,water
11,water
12,dusk
13,dusk
14,dusk
15,scene
16,dusk
17,impressions
18,trees
19,water
20,cold
21,cold
22,flowers
23,water
24,trees
25,dusk
26,scene
27,impressions
28,cold
29,trees
30,trees
31,flowers
32,water
33,scene
34,cold
35,flowers
36,scene
37,water
38,cold
39,scene
40,trees
41,trees
42,cold
43,dusk
44,cold
45,dusk
46,cold
47,trees
48,trees
49,dusk
50,dusk
51,water
52,impressions
53,water
54,trees
55,trees
56,water
57,impressions
58,cold
59,water
60,trees
61,cold
62,scene
63,flowers
