id,class
1,dusk
2,water
3,dusk
4,water
5,water
6,cold
7,impressions
8,water
9,water
10,water
11,water
12,dusk
13,water
14,dusk
15,water
16,scene
17,impressions
18,scene
19,scene
20,cold
21,dusk
22,flowers
23,cold
24,water
25,dusk
26,dusk
27,impressions
28,cold
29,water
30,dusk
31,trees
32,cold
33,water
34,dusk
35,trees
36,water
37,water
38,cold
39,cold
40,water
41,water
42,water
43,dusk
44,cold
45,dusk
46,flowers
47,flowers
48,water
49,water
50,dusk
51,water
52,impressions
53,water
54,trees
55,water
56,water
57,impressions
58,cold
59,water
60,water
61,cold
62,flowers
63,dusk
