id,class
1,dusk
2,dusk
3,flowers
4,cold
5,water
6,cold
7,cold
8,water
9,water
10,water
11,water
12,flowers
13,water
14,dusk
15,water
16,dusk
17,impressions
18,water
19,scene
20,cold
21,cold
22,flowers
23,dusk
24,water
25,dusk
26,dusk
27,impressions
28,cold
29,trees
30,dusk
31,water
32,dusk
33,water
34,cold
35,trees
36,scene
37,trees
38,cold
39,water
40,water
41,water
42,water
43,dusk
44,cold
45,dusk
46,dusk
47,flowers
48,trees
49,water
50,dusk
51,water
52,impressions
53,water
54,trees
55,water
56,water
57,impressions
58,cold
59,water
60,water
61,impressions
62,dusk
63,trees
