id,class
1,dusk
2,trees
3,water
4,cold
5,trees
6,cold
7,cold
8,water
9,trees
10,water
11,water
12,water
13,water
14,cold
15,dusk
16,dusk
17,cold
18,trees
19,trees
20,cold
21,cold
22,water
23,cold
24,water
25,water
26,dusk
27,cold
28,cold
29,water
30,water
31,water
32,cold
33,water
34,cold
35,water
36,trees
37,water
38,cold
39,cold
40,water
41,water
42,cold
43,dusk
44,cold
45,dusk
46,cold
47,cold
48,trees
49,water
50,dusk
51,water
52,cold
53,water
54,water
55,water
56,trees
57,cold
58,cold
59,dusk
60,water
61,cold
62,water
63,water
