id,class
1,dusk
2,trees
3,flowers
4,dusk
5,water
6,cold
7,cold
8,water
9,trees
10,scene
11,water
12,flowers
13,water
14,trees
15,water
16,dusk
17,impressions
18,water
19,water
20,cold
21,cold
22,trees
23,cold
24,scene
25,dusk
26,water
27,impressions
28,cold
29,water
30,flowers
31,trees
32,oval
33,trees
34,cold
35,trees
36,water
37,water
38,cold
39,flowers
40,water
41,trees
42,cold
43,dusk
44,cold
45,dusk
46,cold
47,flowers
48,trees
49,dusk
50,dusk
51,dusk
52,cold
53,water
54,flowers
55,trees
56,water
57,impressions
58,cold
59,dusk
60,water
61,water
62,water
63,cold
