id,class
1,dusk
2,scene
3,flowers
4,water
5,dusk
6,scene
7,cold
8,trees
9,trees
10,dusk
11,trees
12,flowers
13,dusk
14,dusk
15,water
16,flowers
17,impressions
18,water
19,water
20,cold
21,dusk
22,flowers
23,dusk
24,scene
25,dusk
26,dusk
27,scene
28,cold
29,water
30,flowers
31,flowers
32,water
33,scene
34,dusk
35,trees
36,scene
37,flowers
38,cold
39,water
40,water
41,trees
42,water
43,dusk
44,cold
45,dusk
46,flowers
47,water
48,trees
49,water
50,dusk
51,water
52,cold
53,cold
54,trees
55,water
56,trees
57,impressions
58,cold
59,scene
60,trees
61,dusk
62,water
63,flowers
