id,class
1,dusk
2,scene
3,flowers
4,dusk
5,flowers
6,scene
7,flowers
8,water
9,dusk
10,water
11,water
12,flowers
13,scene
14,scene
15,water
16,water
17,impressions
18,water
19,water
20,cold
21,cold
22,flowers
23,dusk
24,scene
25,dusk
26,dusk
27,impressions
28,cold
29,water
30,dusk
31,flowers
32,oval
33,impressions
34,dusk
35,trees
36,scene
37,trees
38,cold
39,water
40,water
41,water
42,water
43,dusk
44,cold
45,dusk
46,dusk
47,water
48,trees
49,water
50,dusk
51,water
52,impressions
53,dusk
54,flowers
55,water
56,scene
57,impressions
58,dusk
59,scene
60,trees
61,water
62,water
63,water
