id,class
1,dusk
2,water
3,flowers
4,dusk
5,flowers
6,scene
7,dusk
8,flowers
9,cold
10,dusk
11,dusk
12,flowers
13,scene
14,water
15,flowers
16,water
17,impressions
18,water
19,scene
20,cold
21,flowers
22,trees
23,dusk
24,scene
25,cold
26,dusk
27,impressions
28,cold
29,water
30,dusk
31,trees
32,dusk
33,impressions
34,dusk
35,trees
36,trees
37,dusk
38,cold
39,water
40,dusk
41,trees
42,dusk
43,dusk
44,cold
45,dusk
46,flowers
47,dusk
48,trees
49,water
50,dusk
51,dusk
52,water
53,scene
54,dusk
55,trees
56,trees
57,impressions
58,cold
59,water
60,trees
61,impressions
62,water
63,flowers
