id,class
1,dusk
2,dusk
3,flowers
4,impressions
5,scene
6,impressions
7,impressions
8,water
9,trees
10,water
11,water
12,flowers
13,dusk
14,oval
15,water
16,scene
17,impressions
18,trees
19,dusk
20,cold
21,cold
22,flowers
23,impressions
24,impressions
25,water
26,dusk
27,impressions
28,impressions
29,trees
30,flowers
31,dusk
32,oval
33,impressions
34,oval
35,trees
36,water
37,water
38,cold
39,impressions
40,dusk
41,trees
42,cold
43,dusk
44,impressions
45,impressions
46,cold
47,impressions
48,trees
49,water
50,flowers
51,dusk
52,impressions
53,water
54,flowers
55,water
56,dusk
57,impressions
58,water
59,scene
60,dusk
61,impressions
62,dusk
63,water
