id,class
1,dusk
2,water
3,scene
4,cold
5,cold
6,scene
7,scene
8,dusk
9,scene
10,scene
11,water
12,trees
13,cold
14,dusk
15,impressions
16,scene
17,oval
18,scene
19,water
20,cold
21,dusk
22,dusk
23,impressions
24,water
25,trees
26,dusk
27,impressions
28,cold
29,trees
30,cold
31,cold
32,water
33,dusk
34,cold
35,trees
36,trees
37,dusk
38,cold
39,flowers
40,water
41,water
42,oval
43,dusk
44,flowers
45,dusk
46,flowers
47,flowers
48,trees
49,cold
50,dusk
51,water
52,cold
53,cold
54,dusk
55,scene
56,cold
57,impressions
58,water
59,dusk
60,cold
61,cold
62,water
63,cold
