id,class
1,dusk
2,trees
3,dusk
4,oval
5,scene
6,scene
7,oval
8,water
9,trees
10,dusk
11,dusk
12,dusk
13,water
14,cold
15,scene
16,dusk
17,oval
18,dusk
19,dusk
20,dusk
21,dusk
22,flowers
23,cold
24,water
25,flowers
26,dusk
27,scene
28,cold
29,water
30,dusk
31,cold
32,cold
33,water
34,cold
35,trees
36,trees
37,flowers
38,cold
39,cold
40,water
41,dusk
42,oval
43,water
44,water
45,dusk
46,flowers
47,flowers
48,trees
49,dusk
50,dusk
51,scene
52,cold
53,scene
54,flowers
55,scene
56,scene
57,impressions
58,water
59,dusk
60,trees
61,impressions
62,water
63,dusk
