id,class
1,flowers
2,water
3,flowers
4,cold
5,water
6,cold
7,cold
8,scene
9,water
10,water
11,water
12,dusk
13,water
14,cold
15,scene
16,dusk
17,impressions
18,scene
19,scene
20,cold
21,cold
22,flowers
23,cold
24,water
25,dusk
26,water
27,impressions
28,cold
29,dusk
30,dusk
31,dusk
32,scene
33,dusk
34,cold
35,water
36,scene
37,dusk
38,cold
39,flowers
40,water
41,trees
42,scene
43,dusk
44,cold
45,dusk
46,dusk
47,flowers
48,water
49,dusk
50,dusk
51,scene
52,impressions
53,scene
54,flowers
55,scene
56,scene
57,impressions
58,cold
59,scene
60,water
61,cold
62,dusk
63,trees
