id,class
1,dusk
2,dusk
3,flowers
4,scene
5,scene
6,water
7,cold
8,water
9,scene
10,water
11,trees
12,water
13,water
14,oval
15,water
16,water
17,impressions
18,trees
19,scene
20,cold
21,cold
22,flowers
23,scene
24,impressions
25,water
26,water
27,impressions
28,cold
29,trees
30,trees
31,trees
32,oval
33,water
34,oval
35,trees
36,scene
37,flowers
38,cold
39,cold
40,water
41,scene
42,oval
43,dusk
44,scene
45,water
46,flowers
47,oval
48,trees
49,water
50,dusk
51,water
52,impressions
53,water
54,water
55,trees
56,scene
57,impressions
58,cold
59,water
60,trees
61,impressions
62,dusk
63,flowers
